model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000542,84,45,,
BIOMD0000000782,5,2,7e-05,0.00015
BIOMD0000000351,12,6,,
BIOMD0000000804,6,3,0.0,0.0
BIOMD0000000019,125,100,,
BIOMD0000000226,24,24,,
BIOMD0000000622,17,11,,
BIOMD0000000395,12,23,,
BIOMD0000000974,4,6,0.0,0.0
BIOMD0000000828,12,6,,
BIOMD0000000341,0,3,,
BIOMD0000000786,32,16,,
BIOMD0000000383,4,6,0.0,0.0
BIOMD0000000680,0,4,,
BIOMD0000000045,8,4,0.0,0.0
BIOMD0000000722,15,5,,
BIOMD0000000859,25,13,,
BIOMD0000000481,28,42,,
BIOMD0000000912,6,3,0.0,1e-05
BIOMD0000001007,6,4,0.0,0.0
BIOMD0000000692,5,8,0.0,0.0
BIOMD0000000057,5,6,3e-05,3e-05
BIOMD0000000532,0,4,,
BIOMD0000000678,4,4,0.0,0.0
BIOMD0000000518,9,4,0.0,0.0
BIOMD0000000082,6,10,0.0,0.0
BIOMD0000001029,35,21,,
BIOMD0000000689,10,17,,
BIOMD0000000702,48,36,,
BIOMD0000000501,57,35,,
BIOMD0000000111,19,10,,
BIOMD0000000503,34,76,,
BIOMD0000000502,11,21,,
BIOMD0000000660,35,20,,
BIOMD0000000274,0,3,,
BIOMD0000000739,23,24,,
BIOMD0000000103,42,17,,
BIOMD0000000303,45,42,,
BIOMD0000000706,127,57,,
BIOMD0000000666,48,48,,
BIOMD0000000359,8,9,0.0,0.0
BIOMD0000000012,12,6,,
BIOMD0000000166,9,3,0.0,0.0
BIOMD0000000574,576,195,,
BIOMD0000000987,10,9,0.0,0.0
BIOMD0000000818,10,11,0.0,0.0
BIOMD0000000411,13,10,,
BIOMD0000000799,4,2,0.00027,0.00026
BIOMD0000001054,11,7,,
BIOMD0000000348,0,7,,
BIOMD0000000943,83,52,,
BIOMD0000000375,0,5,,
